"dose" "concent"
"1" "dose25" 34
"2" "dose25" 46
"3" "dose25" 50
"4" "dose25" 49
"5" "dose25" 21
"6" "dose25" 52
"7" "dose25" 30
"8" "dose25" 29
"9" "dose25" 27
"10" "dose25" 51
"11" "dose50" 92
"12" "dose50" 150
"13" "dose50" 81
"14" "dose50" 155
"15" "dose50" 85
"16" "dose50" 95
"17" "dose50" 95
"18" "dose50" 82
"19" "dose50" 110
"20" "dose50" 99
"21" "dose100" 256
"22" "dose100" 271
"23" "dose100" 270
"24" "dose100" 120
"25" "dose100" 333
"26" "dose100" 198
"27" "dose100" 109
"28" "dose100" 140
"29" "dose100" 147
"30" "dose100" 196
"31" "dose200" 229
"32" "dose200" 232
"33" "dose200" 288
"34" "dose200" 195
"35" "dose200" 354
"36" "dose200" 288
"37" "dose200" 288
"38" "dose200" 170
"39" "dose200" 522
"40" "dose200" 296
