"color" "width" "satell" "weight"
"1" "2" 28.3 8 3.05
"2" "3" 22.5 0 1.55
"3" "1" 26 9 2.3
"4" "3" 24.8 0 2.1
"5" "3" 26 4 2.6
"6" "2" 23.8 0 2.1
"7" "1" 26.5 0 2.35
"8" "3" 24.7 0 1.9
"9" "2" 23.7 0 1.95
"10" "3" 25.6 0 2.15
"11" "3" 24.3 0 2.15
"12" "2" 25.8 0 2.65
"13" "2" 28.2 11 3.05
"14" "4" 21 0 1.85
"15" "2" 26 14 2.3
"16" "1" 27.1 8 2.95
"17" "2" 25.2 1 2
"18" "2" 29 1 3
"19" "4" 24.7 0 2.2
"20" "2" 27.4 5 2.7
"21" "2" 23.2 4 1.95
"22" "1" 25 3 2.3
"23" "2" 22.5 1 1.6
"24" "3" 26.7 2 2.6
"25" "4" 25.8 3 2
"26" "4" 26.2 0 1.3
"27" "2" 28.7 3 3.15
"28" "2" 26.8 5 2.7
"29" "4" 27.5 0 2.6
"30" "2" 24.9 0 2.1
"31" "1" 29.3 4 3.2
"32" "1" 25.8 0 2.6
"33" "2" 25.7 0 2
"34" "2" 25.7 8 2
"35" "2" 26.7 5 2.7
"36" "4" 23.7 0 1.85
"37" "2" 26.8 0 2.65
"38" "2" 27.5 6 3.15
"39" "4" 23.4 0 1.9
"40" "2" 27.9 6 2.8
"41" "3" 27.5 3 3.1
"42" "1" 26.1 5 2.8
"43" "1" 27.7 6 2.5
"44" "2" 30 5 3.3
"45" "3" 28.5 9 3.25
"46" "3" 28.9 4 2.8
"47" "2" 28.2 6 2.6
"48" "2" 25 4 2.1
"49" "2" 28.5 3 3
"50" "2" 30.3 3 3.6
"51" "4" 24.7 5 2.1
"52" "2" 27.7 5 2.9
"53" "1" 27.4 6 2.7
"54" "2" 22.9 4 1.6
"55" "2" 25.7 5 2
"56" "2" 28.3 15 3
"57" "2" 27.2 3 2.7
"58" "3" 26.2 3 2.3
"59" "2" 27.8 0 2.75
"60" "4" 25.5 0 2.25
